Date,Max_Demand_Met_MW,Peak_hr_Shortage_MW,Energy_Consumption_MUs,Date
2016-04-04,3976.0,4.0,81.7,
2016-04-05,3965.0,0.0,80.6,
2016-04-06,3933.0,0.0,82.2,
2016-04-07,3910.0,0.0,81.7,
2016-04-08,3844.0,0.0,76.2,
2016-04-09,3573.0,0.0,77.3,
2016-04-10,3462.0,6.0,74.0,
2016-04-11,3737.0,0.0,79.4,
2016-04-12,3737.0,13.0,79.0,
2016-04-13,3861.0,0.0,76.3,
2016-04-14,3835.0,0.0,81.3,
2016-04-15,3998.0,3.0,83.8,
2016-04-16,4198.0,8.0,85.0,
2016-04-17,4287.0,12.0,86.9,
2016-04-18,4656.0,6.0,95.2,
2016-04-19,4752.0,0.0,98.1,
2016-04-20,4430.0,0.0,92.6,
2016-04-21,4653.0,0.0,95.0,
2016-04-22,4653.0,0.0,96.1,
2016-04-23,4204.0,0.0,87.3,
2016-04-24,4030.0,0.0,78.5,
2016-04-25,4271.0,0.0,88.4,
2016-04-26,4400.0,22.0,91.0,
2016-04-27,4389.0,9.0,93.6,
2016-04-28,4585.0,0.0,99.1,
2016-04-29,4668.0,0.0,92.7,
2016-04-30,4449.0,0.0,91.8,
2016-05-01,4524.0,0.0,87.8,
2016-05-02,4955.0,6.0,95.8,
2016-05-03,5137.0,0.0,104.9,
2016-05-04,4925.0,0.0,102.0,
2016-05-05,4672.0,0.0,96.6,
2016-05-06,4605.0,0.0,94.7,
2016-05-07,4589.0,0.0,89.6,
2016-05-08,4744.0,15.0,92.6,
2016-05-09,4893.0,0.0,101.5,
2016-05-10,5047.0,0.0,104.4,
2016-05-11,5044.0,0.0,100.9,
2016-05-12,5249.0,0.0,106.2,
2016-05-13,5339.0,8.0,108.9,
2016-05-14,5226.0,0.0,106.9,
2016-05-15,5258.0,0.0,104.9,
2016-05-16,5376.0,32.0,110.9,
2016-05-17,5562.0,13.0,114.4,
2016-05-18,5586.0,0.0,116.8,
2016-05-19,5986.0,0.0,122.3,
2016-05-20,6119.0,0.0,126.2,
2016-05-21,5771.0,0.0,120.5,
2016-05-22,5583.0,0.0,112.2,
2016-05-23,5569.0,0.0,104.9,
2016-05-24,5001.0,7.0,98.5,
2016-05-25,5203.0,0.0,103.1,
2016-05-26,5330.0,2.0,107.5,
2016-05-27,5425.0,0.0,113.8,
2016-05-28,5500.0,0.0,111.5,
2016-05-29,4594.0,0.0,93.8,
